receiver,G,q_arrival,R,sigma2,Pbar,T_fixed,T_random,T_single,T_discrete,gain_abs,gain_pct,pi0,pi1,pi2,pi12,fixed_pi0,fixed_pi1,fixed_power,q_tx_random,q_tx_fixed,avg_power_random,avg_power_fixed,E1,E2,E12
SUD,1.5,0.75,0.8,1.0,2.0,0.30000000000000004,0.53328,0.30000000000000004,0.53328,0.23327999999999993,77.75999999999996,0.12,0.44,0.0,0.44,0.0,1.0,2.0,0.66,0.75,0.8938305785291503,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,1.5833333333333333,0.7916666666666666,0.8,1.0,2.0,0.26388888888888895,0.5333300000000001,0.26388888888888895,0.5333300000000001,0.26944111111111113,102.10399999999998,0.16000000000000003,0.42,0.0,0.42,0.0,1.0,2.0,0.6649999999999999,0.7916666666666666,0.8532019158687343,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,1.6666666666666665,0.8333333333333333,0.8,1.0,2.0,0.22222222222222232,0.5333333333333334,0.22222222222222232,0.5333333333333334,0.3111111111111111,139.99999999999994,0.19999999999999996,0.4,0.0,0.4,0.0,1.0,2.0,0.6666666666666666,0.8333333333333333,0.8125732532083185,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,1.75,0.875,0.8,1.0,2.0,0.17500000000000002,0.5333300000000001,0.17500000000000002,0.5333300000000001,0.35833000000000004,204.76000000000002,0.24,0.38,0.0,0.38,0.0,1.0,2.0,0.665,0.875,0.7719445905479025,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,1.8333333333333333,0.9166666666666666,0.8,1.0,2.0,0.12222222222222229,0.53328,0.12222222222222229,0.53328,0.4110577777777777,336.3199999999997,0.28,0.36,0.0,0.36,0.0,1.0,2.0,0.6599999999999999,0.9166666666666666,0.7313159278874866,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,1.9166666666666665,0.9583333333333333,0.8,1.0,2.0,0.063888888888889,0.5331655555555557,0.063888888888889,0.5331655555555557,0.4692766666666667,734.5199999999987,0.30000000000000004,0.34,0.0,0.36,0.0,1.0,2.0,0.6708333333333333,0.9583333333333333,0.7164939053556416,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,2.0,1.0,0.8,1.0,2.0,0.0,0.53312,0.0,0.53312,0.53312,0.0,0.33999999999999997,0.32,0.0,0.34,0.0,1.0,2.0,0.66,1.0,0.6758652426952256,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,0.0,0.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,0.08333333333333333,0.041666666666666664,0.8,1.0,2.0,0.06388888888888888,0.06527777777777777,0.06388888888888888,0.06527777777777777,0.001388888888888884,2.173913043478253,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.041666666666666664,0.041666666666666664,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,0.16666666666666666,0.08333333333333333,0.8,1.0,2.0,0.12222222222222222,0.12777777777777774,0.12222222222222222,0.12777777777777774,0.005555555555555522,4.545454545454518,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.08333333333333333,0.08333333333333333,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,0.25,0.125,0.8,1.0,2.0,0.17500000000000002,0.1875,0.17500000000000002,0.1875,0.012499999999999983,7.142857142857132,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.125,0.125,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,0.3333333333333333,0.16666666666666666,0.8,1.0,2.0,0.22222222222222224,0.24444444444444446,0.22222222222222224,0.24444444444444446,0.022222222222222227,10.000000000000002,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.16666666666666666,0.16666666666666666,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,0.41666666666666663,0.20833333333333331,0.8,1.0,2.0,0.2638888888888889,0.2986111111111111,0.2638888888888889,0.2986111111111111,0.03472222222222221,13.1578947368421,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.20833333333333331,0.20833333333333331,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,0.5,0.25,0.8,1.0,2.0,0.30000000000000004,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.04999999999999999,16.66666666666666,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.25,0.25,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,0.5833333333333333,0.29166666666666663,0.8,1.0,2.0,0.33055555555555555,0.3986111111111111,0.33055555555555555,0.3986111111111111,0.06805555555555554,20.58823529411764,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.29166666666666663,0.29166666666666663,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,0.6666666666666666,0.3333333333333333,0.8,1.0,2.0,0.3555555555555556,0.4444444444444446,0.3555555555555556,0.4444444444444446,0.08888888888888896,25.000000000000018,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.3333333333333333,0.3333333333333333,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,0.75,0.375,0.8,1.0,2.0,0.375,0.48750000000000004,0.375,0.48750000000000004,0.11250000000000004,30.00000000000001,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.375,0.375,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,0.8333333333333333,0.41666666666666663,0.8,1.0,2.0,0.3888888888888889,0.5277777777777778,0.3888888888888889,0.5277777777777778,0.1388888888888889,35.714285714285715,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.41666666666666663,0.41666666666666663,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,0.9166666666666666,0.4583333333333333,0.8,1.0,2.0,0.3972222222222223,0.5652777777777778,0.3972222222222223,0.5652777777777778,0.16805555555555546,42.30769230769228,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.4583333333333333,0.4583333333333333,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,1.0,0.5,0.8,1.0,2.0,0.4,0.6000000000000001,0.4,0.6000000000000001,0.20000000000000007,50.000000000000014,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.5,0.5,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,1.0833333333333333,0.5416666666666666,0.8,1.0,2.0,0.39722222222222225,0.6319444444444444,0.39722222222222225,0.6319444444444444,0.23472222222222217,59.09090909090907,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.5416666666666666,0.5416666666666666,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,1.1666666666666665,0.5833333333333333,0.8,1.0,2.0,0.38888888888888895,0.6611111111111111,0.38888888888888895,0.6611111111111111,0.27222222222222214,69.99999999999997,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.5833333333333333,0.5833333333333333,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,1.25,0.625,0.8,1.0,2.0,0.375,0.6875,0.375,0.6875,0.3125,83.33333333333333,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.625,0.625,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,1.3333333333333333,0.6666666666666666,0.8,1.0,2.0,0.3555555555555556,0.7111111111111112,0.3555555555555556,0.7111111111111112,0.3555555555555556,100.0,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.6666666666666666,0.6666666666666666,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,1.4166666666666665,0.7083333333333333,0.8,1.0,2.0,0.33055555555555566,0.7319444444444445,0.33055555555555566,0.7319444444444445,0.40138888888888885,121.42857142857139,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.7083333333333333,0.7083333333333333,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,1.5,0.75,0.8,1.0,2.0,0.30000000000000004,0.75,0.30000000000000004,0.75,0.44999999999999996,149.99999999999994,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.75,0.75,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,1.5833333333333333,0.7916666666666666,0.8,1.0,2.0,0.26388888888888895,0.7652777777777777,0.26388888888888895,0.7652777777777777,0.5013888888888888,189.99999999999991,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.7916666666666666,0.7916666666666666,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,1.6666666666666665,0.8333333333333333,0.8,1.0,2.0,0.22222222222222232,0.7777777777777777,0.22222222222222232,0.7777777777777777,0.5555555555555554,249.9999999999998,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.8333333333333333,0.8333333333333333,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,1.75,0.875,0.8,1.0,2.0,0.17500000000000002,0.7875000000000001,0.17500000000000002,0.7875000000000001,0.6125,350.0,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.875,0.875,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,1.8333333333333333,0.9166666666666666,0.8,1.0,2.0,0.12222222222222229,0.7944444444444444,0.12222222222222229,0.7944444444444444,0.672222222222222,549.9999999999995,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.9166666666666666,0.9166666666666666,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,1.9166666666666665,0.9583333333333333,0.8,1.0,2.0,0.063888888888889,0.7986111111111112,0.063888888888889,0.7986111111111112,0.7347222222222222,1149.999999999998,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.9583333333333333,0.9583333333333333,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,2.0,1.0,0.8,1.0,2.0,0.0,0.8,0.0,0.8,0.8,0.0,0.0,0.5,0.0,0.5,0.0,1.0,2.0,1.0,1.0,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
